waypoint1	waypoint2	distance_m	duration_s
-22.9663481,-43.2200244	-22.9687066,-43.1794453	5787	4654
-22.95539,-43.167032	-22.9687066,-43.1794453	3358	2607
-22.9944913,-43.2348222	-23.0007675,-43.2727164	4345	3772
-22.9871875,-43.2227147	-22.91314,-43.1799603	11572	8724
-22.9966937,-43.2459426	-22.9457624,-43.197282	16661	14122
-22.9710823,-43.2170445	-22.9663481,-43.2200244	747	585
-22.961238400000003,-43.2131231	-22.9466961,-43.2177901	4127	4956
-22.95539,-43.167032	-22.9864665,-43.2068467	7095	5422
-22.913406800000004,-43.2275963	-23.0007675,-43.2727164	16255	14610
-22.9944913,-43.2348222	-22.91314,-43.1799603	13074	10029
-22.91314,-43.1799603	-22.974258000000003,-43.2011819	9615	7301
-22.913406800000004,-43.2275963	-22.9466961,-43.2177901	9919	9936
-22.9944913,-43.2348222	-22.9663481,-43.2200244	4195	3315
-22.9944913,-43.2348222	-22.9864665,-43.2068467	3468	2748
-22.9687066,-43.1794453	-22.9119442,-43.196649	8956	7136
-22.913406800000004,-43.2275963	-22.9687066,-43.1794453	12632	9814
-23.0007675,-43.2727164	-22.9466961,-43.2177901	12619	11455
-22.9966937,-43.2459426	-22.9663481,-43.2200244	5543	5098
-22.9710823,-43.2170445	-22.9457624,-43.197282	11492	9299
-22.9966937,-43.2459426	-22.95539,-43.167032	11669	9700
-22.974258000000003,-43.2011819	-22.9687066,-43.1794453	2864	2531
-22.9864665,-43.2068467	-22.9466961,-43.2177901	8341	7604
-22.9710823,-43.2170445	-22.913406800000004,-43.2275963	14725	11061
-22.974258000000003,-43.2011819	-22.9466961,-43.2177901	7446	7492
-22.9944913,-43.2348222	-22.9457624,-43.197282	15313	12339
-22.9710823,-43.2170445	-22.9466961,-43.2177901	5612	6071
-22.9944913,-43.2348222	-22.9119442,-43.196649	14867	11406
-22.9944913,-43.2348222	-22.913406800000004,-43.2275963	18543	14084
-22.9871875,-43.2227147	-22.961238400000003,-43.2131231	3539	2623
-22.95539,-43.167032	-22.9710823,-43.2170445	6489	4875
-22.9885307,-43.1925237	-22.913406800000004,-43.2275963	15700	12143
-22.91314,-43.1799603	-22.9710823,-43.2170445	9255	6965
-22.913406800000004,-43.2275963	-22.9119442,-43.196649	3664	2730
-22.961238400000003,-43.2131231	-22.9864665,-43.2068467	4214	3125
-22.9944913,-43.2348222	-22.974258000000003,-43.2011819	5280	4108
-22.95539,-43.167032	-22.913406800000004,-43.2275963	11775	8828
-22.9871875,-43.2227147	-22.913406800000004,-43.2275963	17044	12766
-22.9944913,-43.2348222	-22.961238400000003,-43.2131231	5040	3941
-22.9944913,-43.2348222	-22.95539,-43.167032	10321	7917
-22.961238400000003,-43.2131231	-22.913406800000004,-43.2275963	13522	10160
-23.0007675,-43.2727164	-22.9687066,-43.1794453	11613	9311
-22.9457624,-43.197282	-23.0007675,-43.2727164	18764	15373
-22.9710823,-43.2170445	-22.974258000000003,-43.2011819	3351	2465
-22.961238400000003,-43.2131231	-22.9119442,-43.196649	9843	7481
-22.9885307,-43.1925237	-22.9663481,-43.2200244	4934	3682
-22.9944913,-43.2348222	-22.9466961,-43.2177901	9167	8421
-22.9710823,-43.2170445	-22.9119442,-43.196649	11047	8366
-22.9966937,-43.2459426	-23.0007675,-43.2727164	5294	4979
-22.974258000000003,-43.2011819	-22.9885307,-43.1925237	2789	2119
-22.974258000000003,-43.2011819	-22.9119442,-43.196649	11401	8729
-22.9871875,-43.2227147	-22.9663481,-43.2200244	2694	2015
-22.974258000000003,-43.2011819	-23.0007675,-43.2727164	9541	7819
-22.9966937,-43.2459426	-22.974258000000003,-43.2011819	6628	5891
-22.91314,-43.1799603	-22.9864665,-43.2068467	10865	8534
-22.9966937,-43.2459426	-22.9885307,-43.1925237	6315	5656
-22.9885307,-43.1925237	-22.9119442,-43.196649	12022	9424
-22.9885307,-43.1925237	-22.9457624,-43.197282	12639	10485
-23.0007675,-43.2727164	-22.9119442,-43.196649	18318	14440
-22.91314,-43.1799603	-22.961238400000003,-43.2131231	8050	6105
-22.961238400000003,-43.2131231	-22.95539,-43.167032	5297	3993
-22.9966937,-43.2459426	-22.9864665,-43.2068467	4816	4130
-22.9871875,-43.2227147	-22.9457624,-43.197282	13811	11033
-22.9966937,-43.2459426	-22.961238400000003,-43.2131231	6388	5724
-22.974258000000003,-43.2011819	-22.9864665,-43.2068467	2001	1524
-22.91314,-43.1799603	-23.0007675,-43.2727164	16525	13064
-22.961238400000003,-43.2131231	-22.9687066,-43.1794453	4840	3971
-22.91314,-43.1799603	-22.9119442,-43.196649	1794	1376
-22.95539,-43.167032	-22.9119442,-43.196649	8099	6117
-22.9871875,-43.2227147	-22.9944913,-43.2348222	1834	1555
-22.9966937,-43.2459426	-22.91314,-43.1799603	14421	11812
-22.95539,-43.167032	-22.9885307,-43.1925237	6578	4971
-22.9864665,-43.2068467	-22.9119442,-43.196649	12658	9910
-22.91314,-43.1799603	-22.9885307,-43.1925237	10230	8047
-22.9710823,-43.2170445	-23.0007675,-43.2727164	8063	6705
-22.961238400000003,-43.2131231	-22.9457624,-43.197282	10289	8414
-22.95539,-43.167032	-22.9466961,-43.2177901	10146	9758
-22.9663481,-43.2200244	-22.9466961,-43.2177901	5091	5656
-22.9944913,-43.2348222	-22.9885307,-43.1925237	4967	3873
-22.9466961,-43.2177901	-22.9687066,-43.1794453	11043	9643
-22.974258000000003,-43.2011819	-22.9457624,-43.197282	11847	9662
-22.9871875,-43.2227147	-22.95539,-43.167032	8819	6612
-22.9871875,-43.2227147	-22.9466961,-43.2177901	7666	7580
-22.9710823,-43.2170445	-22.9687066,-43.1794453	5678	4507
-22.9864665,-43.2068467	-23.0007675,-43.2727164	7729	6358
-22.9457624,-43.197282	-22.913406800000004,-43.2275963	8466	7510
-22.9885307,-43.1925237	-23.0007675,-43.2727164	9228	7584
-22.9457624,-43.197282	-22.9119442,-43.196649	7362	7563
-22.9871875,-43.2227147	-22.9687066,-43.1794453	5519	4160
-22.95539,-43.167032	-22.9663481,-43.2200244	6244	4694
-22.961238400000003,-43.2131231	-22.9663481,-43.2200244	963	700
-22.9710823,-43.2170445	-22.9864665,-43.2068467	2820	2116
-22.9457624,-43.197282	-22.9466961,-43.2177901	2640	2995
-22.9871875,-43.2227147	-23.0007675,-43.2727164	6095	5266
-22.974258000000003,-43.2011819	-22.9663481,-43.2200244	3976	2941
-22.9885307,-43.1925237	-22.9687066,-43.1794453	3219	2410
-22.95539,-43.167032	-22.974258000000003,-43.2011819	5830	4867
-22.9966937,-43.2459426	-22.9466961,-43.2177901	10515	10204
-22.9864665,-43.2068467	-22.9457624,-43.197282	13276	10971
-22.9466961,-43.2177901	-22.9119442,-43.196649	8842	9368
-22.9663481,-43.2200244	-22.913406800000004,-43.2275963	14469	10843
-22.9663481,-43.2200244	-22.9119442,-43.196649	10791	8182
-22.9864665,-43.2068467	-22.9885307,-43.1925237	1499	1125
-22.91314,-43.1799603	-22.913406800000004,-43.2275963	5470	4096
-22.95539,-43.167032	-22.9457624,-43.197282	8666	7953
-22.9966937,-43.2459426	-22.9710823,-43.2170445	5424	5035
-22.9457624,-43.197282	-22.9663481,-43.2200244	11236	9115
-22.9966937,-43.2459426	-22.9687066,-43.1794453	8700	7082
-22.961238400000003,-43.2131231	-22.9885307,-43.1925237	5704	4222
-22.91314,-43.1799603	-22.9687066,-43.1794453	7162	5760
-22.91314,-43.1799603	-22.9466961,-43.2177901	9466	9210
-22.9871875,-43.2227147	-22.9864665,-43.2068467	1634	1207
-22.9864665,-43.2068467	-22.9687066,-43.1794453	3880	2930
-22.974258000000003,-43.2011819	-22.913406800000004,-43.2275963	15084	11396
-22.9966937,-43.2459426	-22.9944913,-43.2348222	1415	1480
-22.961238400000003,-43.2131231	-22.9710823,-43.2170445	1485	1115
-22.9864665,-43.2068467	-22.9663481,-43.2200244	3443	2572
-22.961238400000003,-43.2131231	-23.0007675,-43.2727164	8491	6976
-22.91314,-43.1799603	-22.95539,-43.167032	6305	4733
-22.9966937,-43.2459426	-22.9119442,-43.196649	16215	13189
-22.91314,-43.1799603	-22.9663481,-43.2200244	8997	6806
-22.961238400000003,-43.2131231	-22.974258000000003,-43.2011819	3462	2638
-22.9885307,-43.1925237	-22.9466961,-43.2177901	9831	9178
-22.9871875,-43.2227147	-22.9966937,-43.2459426	3182	3338
-22.9457624,-43.197282	-22.9687066,-43.1794453	9573	8197
-22.9871875,-43.2227147	-22.9119442,-43.196649	13366	10100
-22.9871875,-43.2227147	-22.9885307,-43.1925237	3133	2318
-22.9944913,-43.2348222	-22.9710823,-43.2170445	4076	3252
